lgu,psgc_prefix,region,population_2020,centroid_lat,centroid_lon,grdp_php_billions
Quezon City,1381300000,NCR,2960048,14.6760,121.0437,
City of Manila,1380600000,NCR,1846513,14.5995,120.9842,
Caloocan,1380100000,NCR,1661584,14.6570,120.9820,
Taguig,1381500000,NCR,886722,14.5176,121.0509,
Pasig,1381200000,NCR,803159,14.5764,121.0851,
Valenzuela,1381600000,NCR,714978,14.7011,120.9830,
Parañaque,1381000000,NCR,689992,14.4793,121.0198,
Las Piñas,1380200000,NCR,606293,14.4445,120.9939,
Makati,1380300000,NCR,629616,14.5547,121.0244,
Muntinlupa,1380800000,NCR,543445,14.4081,121.0415,
Marikina,1380700000,NCR,456059,14.6507,121.1029,
Pasay,1381100000,NCR,440656,14.5378,121.0014,
Mandaluyong,1380500000,NCR,425758,14.5794,121.0359,
Malabon,1380400000,NCR,380522,14.6681,120.9658,
Navotas,1380900000,NCR,247543,14.6667,120.9417,
San Juan,1381400000,NCR,126347,14.6019,121.0355,
Pateros,1381701000,NCR,65227,14.5454,121.0687,
San Jose del Monte,301420000,CENTRAL_LUZON,651813,14.8139,121.0453,
Rodriguez,405808000,CALABARZON,443954,14.7290,121.1190,
San Mateo,405811000,CALABARZON,273306,14.6969,121.1219,
Antipolo,405802000,CALABARZON,887399,14.5995,121.1817,
Cainta,405805000,CALABARZON,376933,14.5786,121.1222,
Taytay,405813000,CALABARZON,386451,14.5591,121.1329,
San Pedro,403425000,CALABARZON,326001,14.3595,121.0473,
Biñan,403403000,CALABARZON,407437,14.3306,121.0856,
Santa Rosa,403428000,CALABARZON,414812,14.3122,121.1114,
Cabuyao,403404000,CALABARZON,355330,14.2726,121.1262,
Calamba,403405000,CALABARZON,539671,14.2117,121.1650,
Carmona,402104000,CALABARZON,106256,14.3132,121.0576,
General Mariano Alvarez,402123000,CALABARZON,155143,14.2990,120.9930,
Silang,402118000,CALABARZON,295644,14.2306,120.9747,
Bacoor,402103000,CALABARZON,664625,14.4590,120.9600,
Imus,402109000,CALABARZON,496794,14.4297,120.9367,
Dasmariñas,402106000,CALABARZON,703141,14.3294,120.9367,
General Trias,402108000,CALABARZON,450583,14.3870,120.8810,
