atlas_page,red_orange_px,type
1,4049,FAULT-TRACE MAP
2,1454,FAULT-TRACE MAP
3,8082,FAULT-TRACE MAP
4,1459,FAULT-TRACE MAP
5,7929,FAULT-TRACE MAP
6,1403,FAULT-TRACE MAP
7,2940,FAULT-TRACE MAP
8,1485,FAULT-TRACE MAP
9,442,base/other
10,2844,FAULT-TRACE MAP
11,341,base/other
12,5999,FAULT-TRACE MAP
13,324,base/other
14,6202,FAULT-TRACE MAP
15,347,base/other
16,1397,FAULT-TRACE MAP
17,112,base/other
18,1396,FAULT-TRACE MAP
19,331,base/other
20,5578,FAULT-TRACE MAP
21,426,base/other
22,6110,FAULT-TRACE MAP
23,104,base/other
24,1394,FAULT-TRACE MAP
25,389,base/other
26,11300,FAULT-TRACE MAP
27,320,base/other
28,5408,FAULT-TRACE MAP
29,436,base/other
30,13233,FAULT-TRACE MAP
31,336,base/other
32,10690,FAULT-TRACE MAP
33,316,base/other
34,1404,FAULT-TRACE MAP
35,1450,FAULT-TRACE MAP
36,14063,FAULT-TRACE MAP
37,316,base/other
38,11772,FAULT-TRACE MAP
39,323,base/other
40,15383,FAULT-TRACE MAP
41,265,base/other
42,8435,FAULT-TRACE MAP
43,601,FAULT-TRACE MAP
44,7572,FAULT-TRACE MAP
45,391,base/other
46,10326,FAULT-TRACE MAP
47,548,FAULT-TRACE MAP
48,6294,FAULT-TRACE MAP
49,442,base/other
50,8442,FAULT-TRACE MAP
51,509,FAULT-TRACE MAP
52,9215,FAULT-TRACE MAP
53,520,FAULT-TRACE MAP
54,8606,FAULT-TRACE MAP
55,547,FAULT-TRACE MAP
56,2316,FAULT-TRACE MAP
57,558,FAULT-TRACE MAP
58,1581,FAULT-TRACE MAP
59,1406,FAULT-TRACE MAP
60,1427,FAULT-TRACE MAP
61,17205,FAULT-TRACE MAP
