file,pages,fonts,cjk,classification,action,extracted
1000055656.pdf,241,169,98%,SCANNED w/ garbled OCR layer,OCR needed (re-OCR),
1704788976.pdf,63,70,0%,TEXT layer (clean),extract,extracted_text/1704788976.txt
2014-064__1_.pdf,3,0,0%,SCANNED (no text layer),OCR needed,
62898_nationaldisasterresponseplanforeart.pdf,107,22,0%,TEXT layer (clean),extract,extracted_text/62898_nationaldisasterresponseplanforeart.txt
Harmonized_National_CP_for_Magnitude_7_2_EQ.pdf,81,12,0%,TEXT layer (clean),extract,extracted_text/Harmonized_National_CP_for_Magnitude_7_2_EQ.txt
NDRP.pdf,107,22,0%,TEXT layer (clean),extract,extracted_text/NDRP.txt
NDRRMC_Memorandum_Circular_No_07_s_2025__1_.pdf,3,0,0%,SCANNED (no text layer),OCR needed,
NDRRM_plan_Japanese_ver_compressed.pdf,241,120,98%,SCANNED w/ garbled OCR layer,OCR needed (re-OCR),
National_Disaster_Response_Plan_NDRP_2024.pdf,370,14,0%,TEXT layer (clean),extract,extracted_text/National_Disaster_Response_Plan_NDRP_2024.txt
OCD_-_IMPLEMENTING_RULES_AND_REGULATIONS_OF_REPUBLIC_ACT_NO__10121__ALSO_KNOWN_AS__AN_ACT_STRENGTHENING_THE_PHILIPPINE_DISASTER_RISK_REDUCTION_AND_MANAGEMENT_SYSTEM__PROVIDING_FOR_THE_NATIONAL_DISASTER_RISK_REDUCTION_AND_MANAGEMENT_FRAMEWORK_AND_INSTI.pdf,10,5,0%,TEXT layer (clean),extract,extracted_text/OCD_IMPLEMENTING_RULES_AND_REGULATIONS_OF_REPUBLIC_ACT_NO_10.txt
ORDINANCE_NO__020_S__2023.pdf,4,1,0%,TEXT layer (clean),extract,extracted_text/ORDINANCE_NO_020_S_2023.txt
Operation_LISTO_compressed.pdf,63,70,0%,TEXT layer (clean),extract,extracted_text/Operation_LISTO_compressed.txt
RESOLUTION_NO__109_SERIES_OF_2025.pdf,3,2,0%,TEXT layer (clean),extract,extracted_text/RESOLUTION_NO_109_SERIES_OF_2025.txt
Republic_Act_No__10121___Official_Gazette_of_the_Republic_of_the_Philippines.pdf,23,15,0%,TEXT layer (clean),extract,extracted_text/Republic_Act_No_10121_Official_Gazette_of_the_Republic_of_th.txt
The_Valley_Fault_System_Atlas_in_Greater_Metro_Manila_Area_Part2.pdf,61,0,0%,SCANNED (no text layer),map-clip (atlas),
